address,value
0x2c85b7a37e2e419b2142b1f8a37e8d72671e9c33,92696.60675
0x2a3d9dc87231e5a69bc362819281d81d22ec21e8,89596.85746
0x7e474fe5cfb720804860215f407111183cbc2f85,81130
0x8b668346d8ddd94c7e5f93a12d2eb39183f1f058,78669.46
0x0e95742d8bb8780512b883a3af541678a58cc439,76788.33351
0x0c3a440a759875d0fc58bcf5403d813e246aef12,66987.945
0x51c51ce8f7fcd8cfc6c21ad70e9922bc241d8068,65746.23375
0x66f7e9955e1376fcb45a5cbe162a75c87c8aacc1,53352.875
0x5ea2eb92f44e5a1ffa7b0cab2465ccc9070b2076,53161.25
0xe84f43c7d0fa29c32de8e70002921c57077e49e4,52620
0x5f28a7a7eeea75d0bb72000bd29fa588c2781b7f,50015
0x86dcbce22bee703a6afd449638fcc26ec337fa8e,50000
0xc4dae4a3fccefa494c96a6ea820b483c6245a199,50000
0xcf999d1d91f1004a337a605f3b143f8508fad548,47574
0xc16d1a8842f2846d496705cdbf4f518cbc9dd95d,44606.60239
0xba7c5d7496a7246f5abfb5938ef540fc6986d18a,43677
0x32ec7879d53005a5f1a2e75333cc8ed5a9e42869,42684.82768
0x08182378bbea89c4cfde6359eea6655fc1e52a8d,41614.94812
0xfdf662e00af9e857ced2f5aba320d28a57f3f668,41406.05053
0x79cf05f8fabc79734306de25e4ea61a87a79c2dc,41338.52445
0xaa533bbe055f10eec2e04f9a79a6f0368f153ad4,41202.88613
0xe21b97ea6d18b698f2f0337230cace23a9dfc80c,40458
0xce7f15a8f61c09c4974c40027706cf88eefee96b,40306.95479
0xccd689f9da014bc3e268e827cc2ff38530682c30,40000
0x3c1541d60e1f773a36c0aec7b0e2ffd868c0eac0,32479.04688
0xa0203052b992cddef8d841bcf381647449aec6cc,31098.35925
0xa369cb349acf05555089e73f580bc5126114db7a,27893.9655
0xd29162570e4c1f40cbf98dcc690de43796662bb3,26908.87033
0x6cda9c5f7023a6a059fffd3e19d0103a9171cb6c,26424.22083
0x4b365b1d29302bf2e0d1d1b674fe449a2dc6a2be,25151.46277
